text,is_rumor,user.handle,topic
@SkyNews 11 dead. But they produce a satirical magazine so hopefully it didn't really happen.,1,illyahkuryahkin,charliehebdo
@ddemontgolfier @SkyNews why are you shocked??,1,Bucketyed,charliehebdo
"@SajS4j o
Yeah, same as 9/11",1,albux_,charliehebdo
@redtom43 @SkyNews Perhaps them shouting 'we have avenged the Prophet' maybe. What do you think?? #Moron,1,TimGriffiths85,charliehebdo
@TimGriffiths85 where was that reported? #dickface,1,redtom43,charliehebdo
@Bcfc1186 @redtom43 On every news site and videos that I have seen whilst shouting Allah Akbar. Stop being so naive you deluded twat.,1,TimGriffiths85,charliehebdo
"French radio @Europe1 says attackers on offices of Paris weekly ran out yelling ""Allahu Akbar"" #Charliehebdo",1,marcburleigh,charliehebdo
@marcburleigh @Europe1 figures....when will France and the EU learn.,1,SottileStephen,charliehebdo
@SottileStephen @marcburleigh @Europe1 Only after it's way too late and millions have to die to stamp out the savage muslims.,1,Geddy5,charliehebdo
@marcburleigh @michaeldickson @Europe1 How come they are telling the truth now? Waking up to Islam?  HAPPY NOW @ChTaubira ? Your protégés?,1,MissOginy,charliehebdo
@marcburleigh @michaeldickson @Europe1 ..Of course they were!..,1,JanWal59,charliehebdo
@marcburleigh @pragnik @Europe1 I am told #Obama brushing microphone to tell it has nothing to do with Islam.,1,dwimidhaM,charliehebdo
"@SottileStephen  It is years since @MarkSteynOnline warned Europe. People called him names. Now people die. 
@marcburleighIt @Europe1",1,dwimidhaM,charliehebdo
"@marcburleigh @MumbaikiGirl @Europe1   

Allahu Akbar :)",1,Evilzo0z,charliehebdo
"@marcburleigh @michaeldickson @Europe1 

Not lone wolves this time then. When will they learn?",1,Lyndagee49,charliehebdo
@marcburleigh @Europe1 @omalestafeito and that makes them muslims? I can shout that and im an atheist.,1,KIT0,charliehebdo
@marcburleigh @BJPLucknowBJP @Europe1 All muslims are not terrorist but all terrorist are Muslims.,1,ibschauhan,charliehebdo
BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ,1,Independent,charliehebdo
@Independent How dreadful.,1,sabaone,charliehebdo
"Nowhere is safe anymore? ""@independent",1,AgbaJude,charliehebdo
@Independent why does one feel that this may have something to so with freedom of speech - http://t.co/Uhe5VimATk,1,Brewstermonk1,charliehebdo
BREAKING NEWS: Ten dead in shooting at headquarters of French satirical weekly Charlie Hebdo - French media @Reuters @akhbar,1,jenanmoussa,charliehebdo
“@jenanmoussa: BREAKING NEWS: Ten dead in shooting at headquarters of French satirical weekly Charlie Hebdo - French media @Reuters @akhbar”,1,AytunaT,charliehebdo
@jenanmoussa Hope they catch the attacker(s)!,1,alecaxelblom,charliehebdo
@jenanmoussa @Reuters @akhbar casualties toll yet unconfirmed,1,ClaudeGuibal,charliehebdo
"@jenanmoussa @Reuters @akhbar France 2022: An Islamic Govt in power, says Frech best known Author Michel Houellebecq in his book ""Soumssion""",1,gvrchandra,charliehebdo
@jenanmoussa @HarunMaruf @Reuters @akhbar death tol is now 11 and expected to rise what a horrendous situation on the ground.,1,dakir10,charliehebdo
@jenanmoussa @Reuters @akhbar 11 kia now @ conflict reporter,1,markhusseymh1,charliehebdo
"@jenanmoussa @TarekFatah @Reuters @akhbar 12, including two policemen",1,Anglozion76,charliehebdo
@jenanmoussa @TarekFatah @Reuters @akhbar its 12 now,1,Yozz_24,charliehebdo
"@jenanmoussa @Reuters @TarekFatah @akhbar thank u Muhammad  for gifting the world with this ugly, retarded and filthy religious doctrine!",1,NoJihad4Me,charliehebdo
@jenanmoussa @TarekFatah @Reuters @akhbar they way europe is welcoming islamist soon its going to fall n its already started,1,AbhishekExplore,charliehebdo
Witness says multiple gunmen involved in shooting at Paris HQ of French satirical magazine Charlie Hebdo - @AP http://t.co/ZFJYh80uxy,1,BreakingNews,charliehebdo
@BreakingNews @AP  En français et plus à jour :http://t.co/4kzOBm8vgZ,1,ta4u_stocks,charliehebdo
"@BreakingNews @AP This issue may need some investigation, shrewd tactics by @beatsbydre  or what?",1,PatronJam3s,charliehebdo
BREAKING: 10 people shot dead at headquarters of French satirical weekly publication Charlie Hebdo in #Paris after gunmen stormed office.,1,JFXM,charliehebdo
@thegrugq @JFXM at least she isn't dead as a 1 shot sale for the highest bidder.,1,thegrugq_ebooks,charliehebdo
@JFXM @thegrugq https://t.co/bD5I8Loo4c,1,thisisdebasish,charliehebdo
@thisisdebasish @JFXM yeah. https://t.co/lHWPzuFCg1,1,thegrugq,charliehebdo
"@JFXM @ZarrarKhuhro We Condemn.

Amazing QTablet
http://t.co/C6ux2iB3Mb",1,shifaullah1970,charliehebdo
BREAKING: Paris: 10 dead in attack on satirical paper that poked fun at Mohammed http://t.co/4qqVIjLP8A #CharlieHebdo http://t.co/kqQecEWknq,1,ynetnews,charliehebdo
@ynetnews more from the 'religion of peace'...u mean piece of shxt,1,docrose_rose,charliehebdo
@ynetnews And this surprises approximately........no-one,1,BigIronWorld,charliehebdo
@ynetnews cc @geetaSkapoor,1,SecularTrainee,charliehebdo
@SecularTrainee  i know they r coverin up so thers no anti islam backlash,1,geetaSkapoor,charliehebdo
@ynetnews Terror attack,1,dilchsp,charliehebdo
@geetaSkapoor yes,1,SecularTrainee,charliehebdo
@docrose_rose @ynetnews its a religion of piece piece..,1,Valprajj,charliehebdo
.@ynetnews Not sure. There's another suspect: http://t.co/cS6PLrMKed,1,ofehr_en,charliehebdo
@ofehr_en very sure (listen to shouting in videos). probably nuts returning from isis holly war.  @ynetnews,1,bugiriba,charliehebdo
.@bugiriba @ynetnews those are all assumptions at this point...,1,ofehr_en,charliehebdo
@ofehr_en http://t.co/KewgMPdzqe @ynetnews,1,bugiriba,charliehebdo
"@ynetnews Extremism and Terrorism has no place in Islam #ParisAttack https://t.co/CukDPguk0U 
http://t.co/0m0hV86weU",1,umarenterprises,charliehebdo
@ynetnews there is place in Islam who kill any people...and who not give respect any religon,1,AAMIRFAZALWARSI,charliehebdo
@ynetnews With The Happy Family less Amsterdam Jihadists fighters’ abroad. http://t.co/43MOBjtnk6,1,BySteveBrown,charliehebdo
BREAKING: Paris police say shots fired at satirical newspaper Charlie Hebdo; witness says multiple gunmen involved.,1,FoxNews,charliehebdo
"@FoxNews 
Kyaa baat karte ho BHOLE
What are you talking INNOCENT man",1,peeyushmalhotra,charliehebdo
@FoxNews islamist scum,1,BanIslamists,charliehebdo
@FoxNews Not the satirists! Thank the stars the only people who know my real name and address are peace loving ISIS members.,1,themammothclone,charliehebdo
"RT ""@FoxNews: BREAKING: Paris police say shots fired at satirical newspaper Charlie Hebdo; witness says multiple gunmen involved.”",1,NickonFox7,charliehebdo
@FoxNews @BanIslamists now which religious nutjobs do people think it is? Time to crack down Europe has problems,1,gme7,charliehebdo
"@FoxNews Baby photo contest are involved, you voted offline publications Tweet
thank you
http://t.co/Cf3z3jOxyx",1,gianghaokhanh,charliehebdo
"@FoxNews The islamists are always trying to destroy France.  That's the #Immigration issue most of us have in the USA, also #IslamistObama.",1,herself311,charliehebdo
"@FoxNews 

More innocent people slaughtered in the name of Allah?",1,RammsteinRed,charliehebdo
@FoxNews This place is on Islam's jihad hit list. Obama would blame the magazine never the Islamist behind the gun. How will France respond?,1,BreakingTheLeft,charliehebdo
@BanIslamists @FoxNews Islamist Savages. They can't kill 7 billion people. They are just plain crazy... raised from birth to commit genocide,1,herself311,charliehebdo
@FoxNews @ABOUBAKRLAWFIRM,1,VOAFarag,charliehebdo
"@FoxNews Multiple 'lone wolves', surely?",1,ImGregCook,charliehebdo
@gme7 @BanIslamists your avin a larf David Cameron told us 2 embrace Islam they are fantastic they r all invited round 4 bacon sandwiches,1,JFinklestien,charliehebdo
@FoxNews Muslims kept their promise to attack this magazine,1,Oswald524,charliehebdo
"@FoxNews France has strict gun laws, so where did the gunmen get the guns?",1,crobaby101,charliehebdo
@FoxNews @MSN let the Obama blaming begin!,1,raybee98,charliehebdo
"@FoxNews There was a bar involved,  either a nut bar or an Akbar",1,09outlander,charliehebdo
@FoxNews: BREAKING: 10 dead In Paris at satirical newspaper Charlie Hebdo; witness says multiple gunmen involved.,1,MyFoxHouston,charliehebdo
"@FoxNews Yeah, but Obama strongly condemns it.  So there's that.",1,teamfrazzled,charliehebdo
@BreakingTheLeft @FoxNews You have to see that ! http://t.co/adovQl1KzF,1,sheeprennes,charliehebdo
BREAKING: 10 reported dead in Charlie Hebdo HQ shooting - local media http://t.co/Q27XnP3AS3,1,RT_com,charliehebdo
"@RT_com Let me guess, muslim ""terrorists"" again?",1,HopeNotPC,charliehebdo
@rt_com I'm guessing they've annoyed either the Religion of Peace or the Religion of Hatred and Death,1,BoningMugger,charliehebdo
"@RT_com 

Somebody is mad about a Mohammed joke or whoever....Allah? Who can we not draw pictures of without them freaking out?",1,ItsAnAmerican,charliehebdo
@BoningMugger @RT_com here's your answer: the second one.,1,stp_han,charliehebdo
@HopeNotPC @RT_com No! Just terrorists.,1,stp_han,charliehebdo
@RT_com Islamic terrorist?,1,crm1878,charliehebdo
速報　パリの風刺新聞CharlieHebdoに銃持った男達が侵入　10人死亡という　地元メディア　 @iwakamiyasumi　#飛べサル　@RT_com http://t.co/p6kIb1g1hI,1,yuakira1,charliehebdo
@RT_com sounds like somebody is trying hard to make the point,1,tuzzik,charliehebdo
@RT_com Someone must draw cartoons of the attack!,1,ablho,charliehebdo
@RT_com it's the brownshirts.,1,stp_han,charliehebdo
“@RT_com: 10 reported dead in Charlie Hebdo HQ shooting - local media http://t.co/BK2siZZheq” http://t.co/zzkhUNaWIf,1,GonzaalezCamilo,charliehebdo
@RT_com you know The Arabs make a party for the killing and murder. Blood is so sweet for god of islam.,1,antodws,charliehebdo
"Armed with kalachnikovs &amp; rocketlauncher, 2 men open fire at French satirical mag Charlie Hebdo that published Prophet Mohamed cartoons @AFP",1,jenanmoussa,charliehebdo
@jenanmoussa @AFP Savages,1,wcu80,charliehebdo
@jenanmoussa @AFP What town is this in.,1,Riverboy15,charliehebdo
"A rocketlauncher? MT “@jenanmoussa: Armed with kalachnikovs &amp; rocketlauncher, 2 men open fire at French satirical mag Charlie Hebdo....”",1,atlanticist,charliehebdo
"@jenanmoussa @AFP 

I promise I'm a tolerant man, but when I 1st heard of the shooting I couldn't help but guess 'angry Muslims.'",1,ButtBlood,charliehebdo
@jenanmoussa @AFP Wow. Rocket launchers in Paris. What about Istanbul who was behind it?,1,IncogInquisitor,charliehebdo
@jenanmoussa cc @rahulroushan 10 frenchmen killed by follower of Religion of Peace. @afp,1,uvachhDhir,charliehebdo
"@jenanmoussa @ramana1729 @AFP Sad, when are the MIC's going to stop selling arms to these Messengers of Peace?",1,SMarrtnoj,charliehebdo
Peaceful peoples' peaceful reaction to Art &amp; Creativity. @jenanmoussa @kushanmitra @AFP http://t.co/jG5gXBRCUG,1,id2talk,charliehebdo
Woh... RT @jenanmoussa: Armed with kalachnikovs 2 men open fire at mag Charlie Hebdo that published Prophet Mohamed cartoons @AFP #paris,1,shukla_tarun,charliehebdo
@jenanmoussa @AFP  cc @farzana_versey,1,findingkhaini,charliehebdo
.@shukla_tarun @jenanmoussa @AFP clearly a terorrist attack. No part of the world is safe anymore.,1,SimpliVishal,charliehebdo
@jenanmoussa @AFP RPGs?  How did they get them in france?,1,markhusseymh1,charliehebdo
"@jenanmoussa @wcu80 @AFP Any #Muslimapologies forthcoming? Fuck Islam, fuck Mohammad.",1,ManBearPig486,charliehebdo
"Paris police: 10 dead, 5 injured at #CharlieHebdo shooting",1,mathieuvonrohr,charliehebdo
@mathieuvonrohr @SPIEGELONLINE Caravan looter's religion islam with rape violence looting slavery coming from7th century as if it were peace,1,ar10hazar,charliehebdo
BREAKING: 'Ten shot dead' as gunmen storm HQ of satirical magazine Charlie Hebdo in Paris http://t.co/yGyND65MR8 https://t.co/BFVHx422JS,1,standardnews,charliehebdo
"@standardnews  as long as this evil cult "" Islam"" is alive you will  suffer more and more, stop "" Islam'' the sooner the better.",1,AHaydro46,charliehebdo
"@SajS4j  i am hiding hahahahaha, go fuck your mother fucker , you what Islam sucks, Christianity sucks, Judaism sucks,",1,AHaydro46,charliehebdo
"@SajS4j  i have the balls crush your fucking skull you pitiful thug , stfuuuuuuu fucking rotten shit.",1,AHaydro46,charliehebdo
"@SajS4j  you sound like a hero made of paper, come over here and i`ll show you the real deal.",1,AHaydro46,charliehebdo
"@SajS4j  a bunch of sick twisted mentalities made up this thing called Islam , day after day your cult is getting weaker and weaker .",1,AHaydro46,charliehebdo
@AHaydro46 u a kurdish little bitch,1,SajS4j,charliehebdo
"@SajS4j  stfuuuuuuu, msulim fuck shit .",1,AHaydro46,charliehebdo
"Now we are confirming 10 dead in #Paris #CharlieHebdo shooting, via prosecutors office @AFP",1,EricWRandolph,charliehebdo
"@EricWRandolph @mumbletwits the Gov have sat back &amp; let this happen, go for the jugular France &amp; the UK",1,margatelady,charliehebdo
"Breaking: Armed men attack offices of French satirical magazine Charlie Hebdo, killing at least 10, police say http://t.co/tYCeEMKwOo",1,WSJ,charliehebdo
RT @WSJ: Breaking: Armed men attack offices of French satirical magazine Charlie Hebdo killing at least 10 police say http://t.co/WGxWZgzDEN,1,felipeguler,charliehebdo
"@WSJ Paris has too much ""skin in the game"" to stay on sidelines.They need a spot at the tip of the bullet",1,ebbitt,charliehebdo
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",1,BBCBreaking,charliehebdo
@BBCBreaking #Islamophobia ?,1,TroyTottah,charliehebdo
@BBCBreaking This is the future of Europe. Thank you.,1,RiccardoDeias,charliehebdo
@BBCBreaking I'm sure it has nothing to today with Islam.,1,Addzy18,charliehebdo
“@BBCBreaking: Ten people killed in attack at offices of satirical French magazine Charlie Hebdo http://t.co/x0Moe77Ol3” holy shit,1,mmmonkman,charliehebdo
Mag firebombed in '11 re Mohammed cartoon row MT @BBCBreaking Ten killed in attack at Paris offices of Charlie Hebdo http://t.co/Zyf2i9kzO8,1,jane__bradley,charliehebdo
@BBCBreaking This is not Islam (if they are muslims). This is the European stupidity. Thanks again.,1,RiccardoDeias,charliehebdo
@BBCBreaking let me guess??? Something to do with Islam?? The religion of peace followed by the peaceful followers and advocates??,1,rexgold,charliehebdo
@TroyTottah @BBCBreaking Islamophobia is justified when 99% of terrorist attacks are carried out by people promoting islam,1,Nelskih,charliehebdo
@BBCBreaking @SymbolicJest Fuck political correctness. Violent ideologies have violent consequences. It's time we acknowledged the truth.,1,pastaistic,charliehebdo
@BBCBreaking @SymbolicJest Faith is the excuse given for believing in things without sufficient evidence. It is irresponsible and dangerous.,1,pastaistic,charliehebdo
"“@BBCBreaking: Ten people killed in attack at offices of satirical French mag Charlie Hebdo, Paris prosecutors say http://t.co/Tfz8MWwIDE”",1,katysaustin,charliehebdo
"@BBCBreaking @JeffreyGuterman The end of the world is near,I foresee it",1,TinaFanNGA,charliehebdo
@rexgold @BBCBreaking don't just assume,1,slvrdwtr,charliehebdo
@Addzy18 @BBCBreaking it has everything to do with Islam,1,donaldjmorrison,charliehebdo
@Nelskih @TroyTottah @BBCBreaking how do you get these stats? Make them up?,1,slvrdwtr,charliehebdo
@slvrdwtr @TroyTottah @BBCBreaking It's an observation. And obviously exagerated. But you can't deny that recent violence stems from Islam.,1,Nelskih,charliehebdo
@TinaFanNGA @BBCBreaking That's nonsense. This is just a sign of extremist madmen.,1,JeffreyGuterman,charliehebdo
@Nelskih @BBCBreaking so #islamofascism then ?,1,TroyTottah,charliehebdo
@TroyTottah @BBCBreaking I'm no expert. I'm just pointing out the majority of recent violence comes from Islam,1,Nelskih,charliehebdo
@TroyTottah @BBCBreaking So it's a reasonable assumption to suggest islamic extremists are behind this,1,Nelskih,charliehebdo
@Nelskih @BBCBreaking one doesn't need to be an expert to notice the obvious.,1,TroyTottah,charliehebdo
"@Nelskih @TroyTottah @BBCBreaking I didn't deny that, I just want people to be careful with spreading these kind of rumours",1,slvrdwtr,charliehebdo
@pastaistic @BBCBreaking No one should feel entitled to special treatment. Especially when they think irrational violence is acceptable.,1,SymbolicJest,charliehebdo
@pastaistic @SymbolicJest @BBCBreaking The West needs to wake up and understand Islam is at war with us,1,BaronessAmber,charliehebdo
@BaronessAmber @pastaistic @SymbolicJest @BBCBreaking The west would rather worry about Kardashian's ass or how men sit on subways.,1,MikeQ42,charliehebdo
@MikeQ42 @pastaistic @SymbolicJest @BBCBreaking I find it cute that the far left is still tweeting about that pipe bomb in Co Springs,1,BaronessAmber,charliehebdo
@BaronessAmber @pastaistic @SymbolicJest @BBCBreaking The EU took Hamas off the terrorist list. Of course the west doesn't fucking care.,1,MikeQ42,charliehebdo
"@Nelskih @TroyTottah @BBCBreaking Indeed. Only the suffix, 'phobia' is unjustified, as it implies irrationality.",1,GoJo1978,charliehebdo
@MikeQ42 @pastaistic @SymbolicJest @BBCBreaking I saw that what a few weeks ago?Cause a genocidial terror group can b reasoned with,1,BaronessAmber,charliehebdo
"@TinaFanNGA @BBCBreaking @JeffreyGuterman Well thanks for that rational contribution there, bub.",1,GoJo1978,charliehebdo
"@BaronessAmber @pastaistic @SymbolicJest @BBCBreaking Yeah, that works out real well.  They'll respond with more appeasement, though.",1,MikeQ42,charliehebdo
@MikeQ42 @BaronessAmber @pastaistic @BBCBreaking Western Europe governments are PC to the end.,1,SymbolicJest,charliehebdo
@MikeQ42 @pastaistic @SymbolicJest @BBCBreaking Ask the Jews of Warsaw how well that worked out.If u can find any,1,BaronessAmber,charliehebdo
@BaronessAmber @pastaistic @SymbolicJest @BBCBreaking The one who truly rules is the one you are not allowed to offend.,1,MikeQ42,charliehebdo
@MikeQ42 @pastaistic @SymbolicJest @BBCBreaking Sucks that we have freedom of expression as a human right in the West.We r so horrible,1,BaronessAmber,charliehebdo
@BaronessAmber @MikeQ42 @pastaistic @SymbolicJest @BBCBreaking Freedom of expression is worthless if we are afraid to use it though.,1,gg_maxi456,charliehebdo
@gg_maxi456 @MikeQ42 @pastaistic @SymbolicJest @BBCBreaking Don't live in silence.Try to show others it's ok to speak your mind,1,BaronessAmber,charliehebdo
@gg_maxi456 @BaronessAmber @pastaistic @SymbolicJest @BBCBreaking Exactly. Will fear be the response to this tragedy?,1,MikeQ42,charliehebdo
@gg_maxi456 @BaronessAmber @MikeQ42 @pastaistic @BBCBreaking Bingo. All rights on paper are worthless if you can't exercise them.,1,SymbolicJest,charliehebdo
@Nelskih @TroyTottah @BBCBreaking The understatement of the year.,1,Benavra,charliehebdo
"@Nelskih @TroyTottah @BBCBreaking not from islam for sure, but from stupid fanatics who happened to be muslims",1,chery009,charliehebdo
@chery009 @TroyTottah @BBCBreaking You've massively contradicted yourself there,1,Nelskih,charliehebdo
@chery009 @Nelskih @BBCBreaking what a BS statement dear Chery. Any idea about this question? http://t.co/ZFw4rNAhv4,1,TroyTottah,charliehebdo
@TroyTottah @chery009 @Nelskih @BBCBreaking I forgot Christians aren't illegally invading countries and using drones to kill innocent people,1,ShuezK,charliehebdo
